NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3119;Admisión OPSU;13;2013;O;Miranda;;M;TECNOLOGÍA ELECTRÓNICA;CAMBIO DE SEDE;3,56;julio-agosto 2016
3120;Admisión OPSU;13;2013;O;Miranda;;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3121;Admisión OPSU;17;2017;O;Vargas;16,0244;M;TECNOLOGÍA ELÉCTRICA;PERIODO DE PRUEBA;2,3077;Enero-Marzo   2018
3122;Admisión OPSU;17;2017;P;Aragua;19,2927;M;INGENIERÍA DE MANTENIMIENTO;ACTIVO;3,8;Enero-Marzo   2018
3123;Admisión OPSU;13;2013;O;Miranda;;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3124;Admisión OPSU;13;2013;O;Miranda;;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1,6923;Septiembre-Diciembre 2013
3125;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;M;TECNOLOGÍA ELECTRÓNICA;ACTIVO;4,2569;Enero-Marzo   2018
3126;Admisión OPSU;13;2013;O;Miranda;;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;3,3699;Enero-Marzo   2018
3127;Admisión OPSU;13;2013;P;VARGAS;;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,4783;Enero-Marzo   2014
3128;Admisión OPSU;13;2013;O;Distrito Federal;16,02;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,3867;Septiembre - Diciembre 2016
3129;Admisión OPSU;13;2013;O;VARGAS;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4138;Abril-Julio 2015
3130;Admisión OPSU;13;2013;O;Vargas;;M;INGENIERÍA DE MANTENIMIENTO;ACTIVO;4,0874;Enero-Marzo   2018
3131;Admisión OPSU;13;2013;O;ARAGUA;;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;1,2308;Septiembre-Diciembre 2013
3132;Admisión OPSU;13;2013;S;Distrito Federal;17,4;F;COMERCIO INTERNACIONAL;SUSPENDIDO;1,75;Septiembre-Diciembre 2013
3133;Admisión OPSU;13;2013;O;;;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3134;Admisión OPSU;13;2013;O;;;F;ADMINISTRACIÓN DEL TRANSPORTE;ACTIVO;3,5;Enero-Marzo   2018
3135;Admisión OPSU;13;2013;P;Vargas;14,76;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3136;Admisión OPSU;13;2013;P;VARGAS;17,26;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,7391;Enero-Marzo   2014
3137;Admisión OPSU;13;2013;O;ARAGUA;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,3944;Enero-Marzo   2016
3138;Admisión OPSU;13;2013;S;Vargas;17,23;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;4,3515;Enero-Marzo   2018
3139;Admisión OPSU;13;2013;O;Aragua;17,17;M;INGENIERÍA DE MANTENIMIENTO;SUSPENDIDO;1,4;Septiembre-Diciembre 2013
3140;Admisión OPSU;13;2013;O;ARAGUA;;F;COMERCIO INTERNACIONAL;ACTIVO;3,5072;Enero-Marzo   2016
3141;Admisión OPSU;13;2013;O;Aragua;;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;3,6067;Enero-Marzo   2018
3142;Admisión OPSU;13;2013;O;MIRANDA;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3143;Admisión Regular;15;2016;S;Miranda;15,6585;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;1;Abril-Julio 2016
3144;Admisión OPSU;13;2013;P;MIRANDA;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,5455;Septiembre - Diciembre 2014
3145;Admisión OPSU;13;2013;P;Miranda;16,29;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,3448;Enero-Marzo   2014
3146;Admisión OPSU;13;2013;P;Miranda;17,12;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,8182;Septiembre - Diciembre 2014
